title,title_imdb,title_sim
west point,West Point,1.0
expedition unknown,Expedition Unknown,1.0
executive decision,Executive Decision,1.0
what history forgot,What History Forgot,1.0
amazing grace and chuck,Amazing Grace and Chuck,1.0
apollo 13,Apollo 13,1.0
escape from the planet of the apes,Escape from the Planet of the Apes,1.0
escape from alcatraz,Escape from Alcatraz,1.0
ernest saves christmas,Ernest Saves Christmas,1.0
ernest in the army,Ernest in the Army,1.0
ambush bay,Ambush Bay,1.0
er,ER,1.0
ensign pulver,Ensign Pulver,1.0
why sailors go wrong,Why Sailors Go Wrong,1.0
all the young men,All the Young Men,1.0
airplanes,Airplanes,1.0
welcome home,Welcome Home,1.0
fablife,FabLife,1.0
welcome mr washington,Welcome Mr Washington,1.0
aloha vet,Aloha Vet,1.0
an officer and a movie,An Officer and a Gentleman,0.95
10 years of terror,Halloween: 25 Years of Terror,0.88
the science of smells,The Science of Sex Appeal,0.78
our vietnam generation,The Vietnam War,0.71
through the decades,The Chipmunks: Rockin' Through the Decades,0.7
the oc,Real MILFS of the OC,0.7
the daily planet army green round,Swiss Army Man,0.7
the caribbean,Pirates of the Caribbean: The Curse of the Black Pearl,0.7
top 10,106 & Park Top 10 Live,0.69
betty white’s smartest animals in america,The Punch and Judy Man,0.69
owners manual,Men: An Owners Manual,0.69
ghost hunters uss constitution,Rockets Red Scare,0.69
pursuit of the graf spee,The Battle of the River Plate,0.68
four years of thunder volume four—winged victory 1918,Four Weddings and a Funeral,0.67
channel islands ang mission,The Guernsey Literary and Potato Peel Pie Society,0.67
pete and jimmy,Andy Cohen/Pete Davidson/Mario Andretti/Michael Andretti/Marco Andretti/Jose Andres,0.67
gunny time,Lock 'N Load with R. Lee Ermey,0.67
pandora’s clock,Pancho Villa,0.67
combat medic challenge,Hacksaw Ridge,0.66
brady’s escape,Hosszú vágta,0.66
beyond the diamond,Saved by the Bell,0.65
the music of war,Urgh! A Music War,0.65
medical investigation escape,Escape,0.65
operation flintlock,Centennial,0.64
ben harrow story,Harrow,0.64
this ones for you,This One's for the Ladies,0.64
mchale’s navy joins the air force,The Maze Runner,0.64
imax project rescue,Superpower Dogs,0.64
surprise homecoming,Christmas Homecoming,0.64
the satellite killer,Hidden Agenda,0.63
west point bridge design contest,The Mothman Legacy,0.63
hell’s kitchen,Hello Sunshine,0.63
legends of groundpower,City of Ember,0.63
